"DATE",NR_REPORTING,"TOTAL_IN","TOTAL_IN_ICU","TOTAL_IN_RESP","TOTAL_IN_ECMO","NEW_IN","NEW_OUT"
2020-03-15,14,50,9,4,0,8,8
2020-03-15,14,58,11,8,0,7,2
2020-03-15,15,56,13,11,1,26,1
2020-03-15,7,20,6,3,0,9,3
2020-03-15,12,22,2,1,0,4,1
2020-03-15,3,4,0,0,0,3,0
2020-03-15,6,2,1,1,0,0,0
2020-03-15,14,16,5,1,0,5,1
2020-03-15,6,14,2,0,0,2,0
2020-03-15,2,5,2,2,0,1,0
2020-03-15,11,19,3,1,0,6,2
2020-03-16,14,63,12,5,0,12,1
2020-03-16,15,81,14,11,0,11,4
2020-03-16,13,89,19,14,1,28,0
2020-03-16,7,25,9,4,0,7,0
2020-03-16,13,24,2,2,0,2,1
2020-03-16,3,5,1,1,0,0,1
2020-03-16,6,4,1,1,0,1,1
2020-03-16,14,23,6,2,0,4,0
2020-03-16,6,23,7,2,0,13,0
2020-03-16,2,8,2,2,0,3,0
2020-03-16,11,25,6,7,0,9,6
2020-03-17,14,89,14,10,1,17,5
2020-03-17,16,115,23,16,1,16,5
2020-03-17,14,108,25,18,1,27,3
2020-03-17,7,34,13,5,0,23,11
2020-03-17,12,29,5,3,0,5,2
2020-03-17,3,8,1,0,0,2,0
2020-03-17,6,4,1,1,0,0,0
2020-03-17,14,32,8,4,0,10,2
2020-03-17,6,33,3,1,0,9,0
2020-03-17,2,10,2,2,0,3,1
2020-03-17,11,35,5,6,0,11,2
2020-03-18,14,125,19,14,1,35,26
2020-03-18,16,124,29,18,2,18,5
2020-03-18,14,130,29,21,1,25,4
2020-03-18,7,57,18,7,0,26,2
2020-03-18,12,41,2,2,0,13,4
2020-03-18,3,15,2,2,0,3,1
2020-03-18,6,6,1,1,0,4,0
2020-03-18,14,52,12,10,0,24,3
2020-03-18,5,36,7,4,0,5,2
2020-03-18,2,14,3,3,0,5,0
2020-03-18,11,50,9,6,0,25,1
2020-03-19,14,155,22,16,1,35,6
2020-03-19,16,156,35,24,2,33,12
2020-03-19,14,167,36,29,1,33,11
2020-03-19,7,77,18,9,0,23,2
2020-03-19,13,59,5,2,0,21,4
2020-03-19,3,23,6,3,0,10,2
2020-03-19,6,8,2,1,0,1,0
2020-03-19,14,59,16,12,0,22,6
2020-03-19,6,50,11,7,0,10,1
2020-03-19,2,15,4,4,0,2,1
2020-03-19,11,75,10,8,0,22,4
2020-03-20,14,185,32,26,1,40,13
2020-03-20,16,193,46,32,2,29,4
2020-03-20,14,216,38,36,2,42,5
2020-03-20,7,114,27,13,0,38,7
2020-03-20,12,78,18,13,1,30,4
2020-03-20,3,26,7,5,1,9,4
2020-03-20,6,18,1,1,0,11,4
2020-03-20,14,84,20,14,0,50,4
2020-03-20,6,67,18,11,0,17,2
2020-03-20,2,19,4,4,0,4,0
2020-03-20,11,99,17,13,0,25,8
2020-03-21,14,219,38,30,1,46,16
2020-03-21,16,248,56,34,2,40,11
2020-03-21,14,224,50,42,1,31,10
2020-03-21,7,146,29,15,0,49,7
2020-03-21,13,124,27,16,1,38,7
2020-03-21,3,36,9,8,0,11,2
2020-03-21,6,22,4,3,1,9,0
2020-03-21,14,126,29,19,0,52,8
2020-03-21,6,84,20,12,0,17,6
2020-03-21,2,24,5,4,0,6,0
2020-03-21,11,131,23,17,0,33,7
2020-03-22,14,258,42,32,1,46,6
2020-03-22,16,283,58,42,2,41,13
2020-03-22,14,268,59,46,2,37,5
2020-03-22,7,166,30,24,0,46,10
2020-03-22,13,171,29,23,1,35,11
2020-03-22,3,44,11,7,0,8,2
2020-03-22,6,27,7,3,2,4,0
2020-03-22,14,153,37,24,0,20,2
2020-03-22,5,91,17,12,0,20,5
2020-03-22,2,29,5,5,0,6,0
2020-03-22,11,156,27,21,0,27,7
2020-03-23,14,308,56,42,1,46,7
2020-03-23,16,298,67,48,3,21,9
2020-03-23,14,308,65,48,1,44,8
2020-03-23,7,181,38,27,0,45,32
2020-03-23,13,194,31,26,1,23,11
2020-03-23,3,47,18,10,0,4,0
2020-03-23,6,34,7,6,0,9,3
2020-03-23,14,166,41,32,0,22,4
2020-03-23,6,136,25,16,0,32,5
2020-03-23,2,31,6,6,0,3,0
2020-03-23,11,180,31,25,0,29,3
2020-03-24,13,373,70,54,1,84,18
2020-03-24,15,319,77,49,4,52,17
2020-03-24,14,336,77,58,1,38,11
2020-03-24,7,235,44,32,0,83,16
2020-03-24,12,196,38,27,1,28,14
2020-03-24,3,52,18,10,0,8,1
2020-03-24,6,42,10,8,0,11,0
2020-03-24,13,186,57,29,1,51,12
2020-03-24,6,148,37,19,0,23,14
2020-03-24,2,37,9,9,0,8,3
2020-03-24,10,216,37,27,0,48,9
2020-03-25,14,495,98,72,1,99,10
2020-03-25,15,415,98,67,4,69,25
2020-03-25,14,377,83,62,2,46,19
2020-03-25,7,290,59,45,0,69,23
2020-03-25,12,252,58,40,1,53,14
2020-03-25,3,63,20,11,0,10,2
2020-03-25,6,56,13,10,0,18,5
2020-03-25,14,263,76,47,1,53,10
2020-03-25,6,172,42,23,1,31,5
2020-03-25,2,40,10,10,0,9,3
2020-03-25,11,298,55,35,0,83,12
2020-03-26,13,522,96,79,1,74,25
2020-03-26,16,482,114,83,3,76,30
2020-03-26,14,416,95,69,2,50,19
2020-03-26,7,323,71,54,0,54,19
2020-03-26,12,286,68,50,2,60,23
2020-03-26,3,72,20,11,0,17,7
2020-03-26,6,70,18,12,1,13,3
2020-03-26,14,326,85,56,1,43,20
2020-03-26,6,187,43,30,1,38,9
2020-03-26,2,41,14,12,0,7,5
2020-03-26,11,352,66,42,0,58,23
2020-03-27,14,627,122,100,2,76,39
2020-03-27,16,581,118,92,4,93,37
2020-03-27,14,457,102,74,2,55,22
2020-03-27,7,396,78,55,0,91,19
2020-03-27,12,347,88,68,2,75,25
2020-03-27,3,84,18,11,0,16,1
2020-03-27,6,79,22,20,2,11,0
2020-03-27,14,393,99,64,2,53,28
2020-03-27,6,217,51,36,2,23,11
2020-03-27,2,56,14,13,0,12,1
2020-03-27,11,413,77,46,0,70,22
2020-03-28,14,725,140,109,1,118,45
2020-03-28,16,630,136,108,5,90,52
2020-03-28,14,548,115,99,4,84,28
2020-03-28,7,418,89,58,0,48,18
2020-03-28,12,375,95,75,3,52,40
2020-03-28,3,90,17,13,0,15,5
2020-03-28,6,85,20,19,2,16,4
2020-03-28,14,456,103,70,2,77,39
2020-03-28,6,247,50,41,3,47,22
2020-03-28,2,56,13,11,0,8,6
2020-03-28,11,459,89,53,0,74,37
2020-03-29,14,770,151,125,1,64,30
2020-03-29,15,656,131,104,5,98,23
2020-03-29,14,610,126,103,5,69,18
2020-03-29,7,457,101,68,0,62,20
2020-03-29,12,425,102,87,2,50,13
2020-03-29,3,101,17,14,0,11,2
2020-03-29,6,102,26,23,2,22,7
2020-03-29,14,514,113,78,1,72,21
2020-03-29,6,269,66,42,3,29,15
2020-03-29,2,60,15,12,0,7,3
