"AGE","GEO","Value"
"0","Belgium","118269"
"0","Italy","438287"
"1","Belgium","120596"
"1","Italy","459922"
"2","Belgium","123554"
"2","Italy","476020"
"3","Belgium","125153"
"3","Italy","489037"
"4","Belgium","128604"
"4","Italy","504420"
"5","Belgium","129381"
"5","Italy","512997"
"6","Belgium","132331"
"6","Italy","535259"
"7","Belgium","133654"
"7","Italy","545227"
"8","Belgium","136107"
"8","Italy","560106"
"9","Belgium","135112"
"9","Italy","569207"
"10","Belgium","135665"
"10","Italy","575704"
"11","Belgium","132927"
"11","Italy","573870"
"12","Belgium","132023"
"12","Italy","574671"
"13","Belgium","128937"
"13","Italy","570699"
"14","Belgium","127253"
"14","Italy","576789"
"15","Belgium","124249"
"15","Italy","572237"
"16","Belgium","123717"
"16","Italy","568910"
"17","Belgium","125970"
"17","Italy","575772"
"18","Belgium","129141"
"18","Italy","590965"
"19","Belgium","128425"
"19","Italy","589257"
"20","Belgium","129816"
"20","Italy","596889"
"21","Belgium","132810"
"21","Italy","595298"
"22","Belgium","134515"
"22","Italy","597394"
"23","Belgium","135534"
"23","Italy","596671"
"24","Belgium","137645"
"24","Italy","603993"
"25","Belgium","143725"
"25","Italy","616285"
"26","Belgium","149244"
"26","Italy","643323"
"27","Belgium","151589"
"27","Italy","640950"
"28","Belgium","151893"
"28","Italy","655536"
"29","Belgium","150096"
"29","Italy","654931"
"30","Belgium","150104"
"30","Italy","670761"
"31","Belgium","147621"
"31","Italy","658626"
"32","Belgium","147683"
"32","Italy","662121"
"33","Belgium","145124"
"33","Italy","682913"
"34","Belgium","146248"
"34","Italy","694925"
"35","Belgium","146511"
"35","Italy","706776"
"36","Belgium","149745"
"36","Italy","730609"
"37","Belgium","151431"
"37","Italy","735922"
"38","Belgium","153291"
"38","Italy","754424"
"39","Belgium","150806"
"39","Italy","777141"
"40","Belgium","148992"
"40","Italy","817752"
"41","Belgium","147237"
"41","Italy","843565"
"42","Belgium","145269"
"42","Italy","879842"
"43","Belgium","142983"
"43","Italy","920163"
"44","Belgium","146893"
"44","Italy","957035"
"45","Belgium","149918"
"45","Italy","950671"
"46","Belgium","154583"
"46","Italy","959730"
"47","Belgium","157297"
"47","Italy","968514"
"48","Belgium","158809"
"48","Italy","959790"
"49","Belgium","156921"
"49","Italy","985592"
"50","Belgium","156346"
"50","Italy","978404"
"51","Belgium","156504"
"51","Italy","981716"
"52","Belgium","160005"
"52","Italy","989428"
"53","Belgium","163005"
"53","Italy","986468"
"54","Belgium","167069"
"54","Italy","998320"
"55","Belgium","163359"
"55","Italy","936477"
"56","Belgium","159337"
"56","Italy","904354"
"57","Belgium","158299"
"57","Italy","885307"
"58","Belgium","155568"
"58","Italy","856850"
"59","Belgium","154764"
"59","Italy","834907"
"60","Belgium","149897"
"60","Italy","796679"
"61","Belgium","145740"
"61","Italy","787187"
"62","Belgium","141788"
"62","Italy","769504"
"63","Belgium","138467"
"63","Italy","753222"
"64","Belgium","134511"
"64","Italy","739645"
"65","Belgium","129677"
"65","Italy","703367"
"66","Belgium","127241"
"66","Italy","690052"
"67","Belgium","120715"
"67","Italy","684817"
"68","Belgium","120049"
"68","Italy","706443"
"69","Belgium","117950"
"69","Italy","706294"
"70","Belgium","117579"
"70","Italy","732098"
"71","Belgium","114577"
"71","Italy","710554"
"72","Belgium","113220"
"72","Italy","704083"
"73","Belgium","94125"
"73","Italy","538957"
"74","Belgium","92037"
"74","Italy","548160"
"75","Belgium","85459"
"75","Italy","545814"
"76","Belgium","74021"
"76","Italy","534585"
"77","Belgium","65646"
"77","Italy","528749"
"78","Belgium","71326"
"78","Italy","570874"
"79","Belgium","74868"
"79","Italy","548659"
"80","Belgium","73407"
"80","Italy","517455"
"81","Belgium","67822"
"81","Italy","463046"
"82","Belgium","63207"
"82","Italy","417429"
"83","Belgium","58903"
"83","Italy","406335"
"84","Belgium","56046"
"84","Italy","372317"
"85","Belgium","51718"
"85","Italy","337748"
"86","Belgium","48664"
"86","Italy","302429"
"87","Belgium","44032"
"87","Italy","275699"
"88","Belgium","39141"
"88","Italy","256490"
"89","Belgium","31707"
"89","Italy","206598"
"90","Belgium","26334"
"90","Italy","175411"
"91","Belgium","21511"
"91","Italy","146741"
"92","Belgium","17430"
"92","Italy","117648"
"93","Belgium","13890"
"93","Italy","93423"
"94","Belgium","10622"
"94","Italy","72341"
"95","Belgium","7749"
"95","Italy","55604"
"96","Belgium","5520"
"96","Italy","40418"
"97","Belgium","3848"
"97","Italy","29328"
"98","Belgium","2636"
"98","Italy","19982"
"99","Belgium","1297"
"99","Italy","9176"
"Open-ended age class","Belgium","1485"
"Open-ended age class","Italy","14456"
